Idx,numbers,categorys,times,dates
21707,18,14,3,9
21709,12,12,1,3
21711,12,12,1,4
21713,21,16,1,3
21718,9,9,1,9
2172,11,11,1,5
21725,12,12,1,4
21726,13,10,2,4
21727,16,15,1,310
21730,12,12,1,14
21732,12,12,1,8
21737,13,13,1,8
2174,12,11,2,4
21740,11,11,1,160
21743,17,14,1,2
21744,10,10,2,1
21748,10,9,1,64
21758,13,11,2,21
2176,11,11,1,7
21763,11,11,1,4
21767,15,15,2,7
21773,25,13,1,3
21775,9,9,1,21
21776,12,12,1,2
2178,24,12,1,8
21791,15,12,2,8
21792,12,12,1,4
21794,29,19,3,13
21795,12,12,1,14
21796,13,13,1,7
21799,12,12,1,7
218,15,12,3,6
2180,11,11,1,6
21801,14,13,1,9
21806,13,13,2,4
21807,12,12,1,4
21808,12,12,1,6
21811,31,20,2,420
21812,33,18,2,2
21823,13,13,1,2
21831,14,12,1,9
21832,13,13,1,14
21833,16,13,3,3
21836,12,12,1,4
21841,15,15,2,5
21842,12,12,1,4
21844,12,12,1,6
21845,19,16,2,3
21847,12,12,1,7
21849,16,13,2,3
21851,12,12,1,8
21858,12,11,3,2
21860,12,12,1,14
21862,12,12,1,3
2187,13,12,2,1
21872,13,13,1,3
21874,15,13,2,2
21875,13,13,2,4
21877,12,12,2,11
21878,14,13,1,2
21879,15,13,1,4
21881,12,12,1,3
21883,12,12,1,3
21884,13,13,2,4
21886,15,13,2,2
21894,12,12,1,4
2190,15,12,2,2
21902,16,14,2,1
21903,35,19,4,2
21906,12,12,1,2
21907,12,12,1,2
21911,12,12,1,3
21912,18,15,1,2
21914,11,11,1,153
21917,14,13,1,3
21920,17,15,2,2
21921,20,15,6,50
21922,14,13,1,4
21926,10,10,2,26
21927,12,12,1,3
2193,13,12,1,2
21931,21,17,3,2
21935,12,12,1,5
21945,9,9,1,11
2195,11,11,1,4
21953,12,12,1,8
21959,13,13,1,3
21963,17,13,1,2
21975,12,12,1,5
21977,10,10,1,29
21982,12,12,1,2
21984,12,12,1,7
21985,11,11,1,2
21992,9,9,1,35
21993,17,16,3,9
22001,12,12,1,6
22006,10,9,1,74
22009,12,12,1,3
22011,14,14,2,2
22013,23,16,1,3
22014,16,15,2,164
22015,14,13,1,5
22016,18,13,1,5
22019,12,12,1,2
2202,11,11,1,8
22021,9,9,1,13
22022,24,12,1,2
22023,13,13,1,0
22027,12,12,1,1
2203,8,6,2,7
22033,15,15,1,8
22034,14,14,1,2
22039,12,12,1,3
22040,21,11,1,149
22057,13,13,1,3
22058,20,17,1,3
22060,13,13,1,3
22061,12,12,1,3
22069,15,15,1,3
22075,12,12,1,7
22078,12,12,1,2
2208,14,13,2,1
22080,16,15,2,8
22085,12,12,1,5
2209,14,11,2,6
22094,12,12,1,2
22096,25,13,1,13
2210,11,11,1,2
22101,12,12,1,2
22106,14,14,1,2
22108,12,12,1,6
22110,12,12,1,6
22113,12,12,1,2
22115,12,12,1,6
22116,13,13,2,4
22118,18,9,1,12
22119,12,12,1,1
22121,16,12,4,10
22124,12,12,1,12
22129,12,12,1,3
2213,16,15,1,140
22133,9,9,1,16
22136,16,15,1,7
2214,13,11,1,23
22149,13,13,1,3
22152,12,12,1,5
22155,12,12,1,6
22157,12,12,1,3
22159,12,12,1,7
22169,28,14,3,16
22174,13,13,2,5
22179,14,14,2,2
2218,21,11,1,5
22182,29,16,1,6
22183,13,13,1,6
22185,12,12,1,5
22190,12,12,1,2
22192,12,12,1,6
22196,12,12,1,5
22197,13,13,1,13
22198,12,12,1,5
22201,12,12,1,3
22202,16,15,3,146
2221,11,11,1,3
22210,13,12,1,7
22211,13,13,1,8
22217,12,12,1,7
22221,12,12,1,3
22223,10,10,2,61
22228,12,12,1,1
22229,12,12,1,5
2223,33,12,1,3
22230,12,12,1,2
22234,15,15,2,3
22236,14,14,2,1
22237,13,13,1,6
2224,16,12,3,3
22241,20,18,3,38
22243,12,12,1,2
22246,13,13,1,7
22252,12,12,1,8
22253,12,12,1,6
22258,17,16,2,3
22259,20,15,2,5
22263,12,12,1,15
22265,12,12,1,8
22266,12,12,1,6
22269,18,15,2,6
2228,14,11,2,4
22286,12,12,1,7
22291,14,14,2,519
22293,17,16,1,6
22294,13,13,1,7
22297,12,12,1,7
22300,12,12,1,4
22305,20,14,4,3
22307,12,11,2,120
22308,14,13,2,5
22309,12,12,1,5
22310,14,13,1,6
22313,12,12,1,2
22314,12,12,1,1
22315,9,9,1,13
22316,10,10,1,20
22328,9,9,1,8
22331,8,8,1,14
22333,9,9,1,11
22334,13,12,2,3
22335,12,12,1,1
22339,13,13,1,1
22347,11,11,1,2
22351,12,12,1,5
22352,17,13,2,4
22359,13,13,2,0
22361,12,12,1,5
22362,10,10,1,7
22364,9,9,1,29
22365,12,12,1,5
22366,12,12,1,6
22368,12,12,1,1
22371,14,13,1,5
22373,13,9,1,1
22375,13,13,1,1
22377,13,13,1,5
22380,13,11,1,7
22381,12,12,1,8
22384,14,14,3,12
22385,14,12,2,158
22387,12,12,1,1
22391,13,13,2,5
22396,12,12,4,2
2240,12,11,2,6
22400,9,9,1,8
22405,17,15,2,500
2241,12,12,1,5
22411,13,13,1,2
22414,61,13,1,7
22415,12,12,1,11
22416,12,12,1,5
22422,12,12,1,7
22425,12,12,1,2
22430,12,12,1,5
22434,12,12,1,5
22439,20,15,2,6
22440,13,13,2,3
22442,13,13,1,13
22447,12,10,2,27
22450,12,12,1,5
22451,12,12,1,5
22452,12,12,1,12
22455,36,12,1,7
22457,9,9,1,26
2246,9,7,2,6
22464,12,12,1,5
22469,12,12,1,4
22471,21,16,2,236
22478,37,23,2,300
2248,11,11,1,5
22480,11,11,1,6
22483,12,12,1,5
22484,9,9,1,46
22488,14,13,1,5
2249,12,12,2,5
225,11,11,1,8
22504,12,12,1,5
22505,12,12,1,5
22508,18,16,2,50
22513,12,12,1,6
22515,16,13,3,102
22520,9,9,1,8
22522,11,10,2,24
22529,12,12,1,5
22530,12,12,1,5
22532,13,13,1,7
22533,12,12,1,6
22536,12,12,1,6
22539,15,15,2,4
22542,13,11,4,4
22548,13,13,1,5
22551,9,9,1,17
22557,13,13,1,5
22562,12,12,1,5
22564,12,12,1,5
22567,14,13,2,4
22569,12,12,1,5
2257,11,11,1,16
22573,12,12,1,6
22575,14,13,1,6
22579,13,12,2,4
2259,16,11,3,4
22593,14,13,1,5
22594,11,9,2,15
22598,10,9,1,51
22601,14,13,1,4
22602,12,12,1,6
22603,23,16,1,4
22604,13,11,1,27
22605,15,13,2,6
22608,12,12,1,12
22610,14,14,2,5
22612,12,12,1,4
22614,12,12,1,6
22620,15,13,2,14
22621,12,12,1,10
22624,15,15,1,10
22626,12,12,1,6
22628,10,10,1,17
22629,12,12,1,4
22630,12,11,1,153
22631,9,9,1,9
22634,16,14,3,114
22635,10,9,2,50
22636,12,12,1,4
2264,11,11,1,5
22641,10,9,1,15
22642,12,12,1,13
22644,10,10,2,24
22645,12,12,1,4
22646,12,12,2,28
22648,14,13,1,7
22649,12,12,1,12
22654,12,12,1,4
22658,11,11,1,160
2266,14,13,2,10
22670,14,14,1,4
22672,12,12,1,4
22677,12,12,1,6
22680,11,10,3,10
22681,12,12,1,4
2269,12,11,1,5
22692,18,17,2,57
22695,16,13,1,11
22698,9,9,1,19
227,12,11,1,22
2270,19,12,1,1
22702,16,13,3,28
22707,13,13,1,4
2271,21,11,1,6
22711,23,17,2,1
22718,12,12,1,4
22719,10,10,2,16
2272,31,18,7,5
22720,12,12,1,4
22723,21,16,4,77
22724,20,10,2,2
22725,16,14,2,3
22727,13,13,1,11
22729,10,9,2,37
22732,18,17,2,4
22733,12,12,1,6
22734,13,13,1,2
22735,12,12,1,2
22738,9,9,1,16
22741,12,12,1,5
22744,12,12,1,2
22748,14,10,1,4
22749,11,11,1,5
22751,12,12,1,5
22752,41,20,3,576
22754,12,12,1,2
22756,13,13,2,5
22758,12,12,1,2
22764,15,13,1,15
22765,13,11,2,2
22767,13,13,1,4
22772,12,12,1,6
22777,29,16,4,250
22778,13,11,3,14
2278,12,11,2,2
22784,13,12,1,5
22785,30,21,5,12
22787,12,12,1,6
22789,12,12,2,12
22799,7,7,2,14
22806,12,12,1,11
2281,13,12,3,2
22812,12,12,1,5
22818,16,11,3,0
22822,13,12,1,1
2283,15,11,3,3
22830,19,15,2,10
22831,13,13,1,3
22834,14,14,2,4
22835,16,15,1,3
22838,9,9,1,27
22841,9,9,1,20
22842,12,12,1,3
22843,12,12,1,5
22846,12,12,1,4
22848,13,13,1,4
2285,11,11,1,14
22851,14,13,2,3
22858,12,12,1,4
22872,12,11,1,208
22874,9,9,1,11
22875,12,12,1,5
22878,14,14,2,3
2288,14,13,2,2
22883,25,13,1,5
22884,12,12,1,3
22887,16,13,1,2
22888,11,11,2,98
22889,12,12,1,12
22891,12,12,1,3
22892,9,9,1,45
22897,24,12,1,9
22900,17,14,1,1
22902,11,11,1,1
22904,12,12,1,5
22908,14,13,1,4
22911,12,12,1,3
22912,12,12,1,5
22913,14,13,2,5
22914,12,12,1,14
22916,13,12,1,5
22919,12,12,1,9
22926,12,12,1,11
22930,16,15,3,0
22934,16,15,1,5
22937,12,12,1,5
22939,12,12,1,4
22941,15,13,1,5
22950,23,15,4,14
22951,11,11,1,133
22953,12,12,1,3
22955,14,13,1,3
22956,26,16,5,36
22957,15,13,3,1
22959,13,13,1,10
22965,12,12,1,5
22966,15,15,3,121
22967,13,13,1,4
22968,12,12,1,4
22970,9,9,1,29
22971,12,12,1,4
22972,17,13,3,3
22974,12,12,1,9
22976,9,9,1,19
22987,12,12,1,4
22991,12,12,1,5
22995,12,12,1,9
23,13,12,4,82
2300,17,14,4,4
23000,18,13,4,13
23001,13,13,1,6
23003,14,14,2,3
23005,52,21,3,18
23010,13,13,1,4
23013,12,12,1,9
23018,13,13,1,5
23025,12,12,1,11
2303,15,11,3,4
23032,13,13,1,4
23035,12,12,1,9
23036,12,12,1,4
23040,9,9,1,12
23042,12,12,1,4
23047,19,14,2,2
23049,18,13,2,17
23052,12,12,1,4
23053,59,13,2,12
23056,18,15,1,2
2306,11,11,1,6
23062,16,16,2,3
23066,17,13,3,98
23067,12,12,1,3
23068,13,13,2,3
23069,12,12,1,2
23075,12,12,1,2
23077,13,13,2,0
23092,12,12,1,10
23093,12,12,1,4
23094,12,12,1,2
2310,11,11,1,3
23105,12,12,1,4
23108,11,11,1,3
23111,11,11,2,55
23112,9,9,1,12
23114,15,13,1,12
23115,14,13,2,15
2312,12,11,2,5
23130,13,13,1,4
23132,14,13,1,4
23133,12,12,1,13
23139,13,13,1,3
23140,12,12,1,4
23145,12,12,1,9
23148,23,15,2,3
23150,12,12,1,13
23151,12,12,1,4
23152,12,12,1,3
23153,27,17,2,10
23156,15,15,2,5
23157,17,14,2,4
23159,14,14,1,4
23161,12,12,1,3
23162,13,13,1,4
23165,14,13,1,3
23167,12,12,1,4
23169,20,14,2,13
2317,13,11,2,5
23172,20,10,2,43
2318,14,11,2,4
23189,13,13,1,9
23191,14,14,2,4
23192,11,11,1,4
23194,12,10,3,17
23196,14,14,1,4
232,12,12,1,3
23201,12,12,1,4
23204,13,13,1,4
2321,12,11,2,3
23210,13,13,2,11
23214,12,12,1,2
23219,12,12,1,10
23222,12,12,1,3
23225,21,13,2,126
23228,9,9,1,18
2323,6,6,1,6
23232,12,12,1,2
23233,9,9,1,18
23236,13,13,2,275
23237,11,11,1,2
2324,15,12,2,3
23240,26,17,2,0
23247,13,13,1,8
2325,14,13,1,3
23250,12,12,1,2
23252,38,13,1,3
23254,12,12,1,3
2326,11,11,1,4
23262,13,13,1,1
23264,12,12,1,1
23266,12,12,1,2
23269,13,13,1,3
23276,12,12,1,8
23279,14,11,2,18
2328,13,12,3,4
23281,12,12,1,10
23291,12,12,1,2
23292,12,12,1,2
23306,12,12,1,1
23313,10,10,2,4
23316,14,14,1,2
23319,12,12,1,3
23321,12,12,1,2
23323,10,10,2,2
23325,15,15,1,8
23330,17,13,2,7
23332,12,12,1,2
23333,13,13,2,2
23335,15,15,1,7
23336,12,12,1,2
23338,20,16,4,365
23343,26,20,4,69
2335,24,15,4,12
23350,13,12,1,12
23351,12,12,1,3
23356,12,12,1,9
23359,12,12,1,3
23367,18,14,2,8
23368,13,13,1,9
23370,15,15,1,3
23371,24,12,1,7
23372,14,14,4,46
23376,30,19,2,298
23377,12,12,1,7
23378,11,11,1,3
2338,13,11,2,5
23382,13,13,2,2
23383,11,11,1,7
23385,12,12,1,2
2339,23,17,4,2
23393,14,13,1,11
23396,12,12,1,1
23397,9,9,1,16
23403,12,12,1,1
23404,13,13,1,2
23405,37,19,3,16
23410,12,12,1,1
23412,19,13,2,16
23413,9,9,1,23
23414,12,12,2,24
23415,17,14,3,15
23417,15,13,1,2
23418,12,12,1,1
23424,9,9,1,19
23425,13,13,1,6
23429,23,17,3,7
23435,18,17,2,11
23437,12,12,1,8
23438,9,9,1,14
23439,19,16,2,10
2344,14,13,1,3
23440,14,12,1,6
23442,14,13,2,2
23444,14,13,2,8
23448,12,12,1,2
23449,12,12,1,2
23451,18,17,3,3
23452,48,12,1,5
23454,18,13,4,21
23456,32,18,3,1
23457,13,13,1,2
23458,15,14,2,120
23460,14,14,2,73
23463,25,21,2,8
23464,12,11,2,13
23467,12,12,1,7
23470,12,12,1,14
23471,13,12,2,5
23474,12,12,1,2
23477,17,14,3,2
23479,20,17,2,477
23480,25,13,1,2
23482,13,13,2,21
23484,25,13,1,7
23485,16,16,2,12
23488,41,13,1,9
2349,15,13,2,4
23491,15,15,1,7
23492,8,8,1,53
23493,23,17,3,410
23495,15,11,2,12
23498,13,12,1,7
23501,12,12,1,7
23503,15,12,3,4
23507,9,9,1,14
23508,17,12,3,32
23522,13,12,1,2
23528,7,7,1,59
23529,13,13,1,7
2353,18,14,3,3
23531,25,20,2,6
23542,12,12,1,6
23543,20,13,3,11
23546,12,12,1,6
23548,12,12,1,6
23550,12,12,1,10
23558,12,12,1,7
23563,13,13,1,10
23568,17,13,2,14
23580,15,13,3,18
23586,23,16,2,1
23588,9,9,1,17
23596,12,12,1,6
236,21,11,1,12
23603,10,10,1,33
23604,13,13,1,5
23607,10,10,1,27
23608,16,15,2,0
23609,12,12,1,6
23611,13,13,1,1
23614,9,9,1,19
23616,12,12,1,1
23620,20,11,4,9
23625,12,12,1,1
23627,13,13,1,13
2363,14,13,2,8
23632,12,12,1,5
23636,12,12,1,5
23640,12,12,1,5
23641,12,12,1,5
23644,14,13,1,9
23646,9,9,1,20
23649,13,13,1,10
23652,13,13,1,5
23653,12,12,1,1
23654,13,13,1,15
23656,11,10,2,4
23660,15,14,2,3
23664,14,14,2,6
23665,14,13,2,13
23669,23,22,2,308
23677,9,9,1,86
23684,12,12,1,6
23691,15,11,3,43
23694,9,9,1,21
23699,12,12,1,6
2370,11,11,1,8
23701,12,12,1,9
23705,26,13,1,7
23708,9,9,1,15
23711,9,9,1,42
23715,13,13,1,6
2372,26,18,5,126
23722,9,9,1,24
23724,12,12,1,9
23725,11,11,1,6
23729,14,13,1,5
2373,12,11,2,2
23733,12,12,1,6
23735,18,18,1,7
23740,13,13,2,5
23742,16,16,2,6
23749,12,12,1,14
23751,12,12,1,6
23753,10,10,2,21
23754,14,13,1,15
2376,17,11,3,5
23761,12,12,1,6
23763,24,16,2,22
23765,18,18,2,0
23767,12,12,1,6
2377,11,11,1,3
23771,12,12,1,5
23772,12,12,1,1
23775,16,13,1,8
23777,12,12,1,12
23778,17,16,1,5
23781,12,12,1,5
23782,12,12,1,5
23783,15,13,2,5
23786,12,12,1,12
23789,19,15,2,7
23793,18,15,2,18
23794,33,23,3,610
23796,12,12,1,29
23799,9,9,1,28
238,11,11,1,10
23800,12,12,1,7
23804,12,12,1,5
23806,12,12,1,9
23813,13,12,1,12
23814,13,13,2,4
23815,12,12,1,0
23818,15,14,1,6
2382,11,11,1,36
23820,24,12,4,0
23821,14,13,1,0
2383,19,12,5,60
23830,12,12,1,7
23832,12,10,3,31
2384,13,11,3,7
23840,12,12,1,6
23843,12,12,1,5
23848,9,9,1,17
23852,13,12,2,7
23854,14,14,2,8
23855,14,14,2,6
23857,12,12,1,9
2386,16,13,3,4
23868,12,12,1,4
23870,15,15,1,4
23871,12,12,1,16
23874,12,12,1,4
23878,12,12,1,4
23879,16,15,2,5
23882,14,13,1,12
23884,12,12,1,5
23886,12,12,1,4
23890,12,10,3,70
23891,13,13,1,12
23895,13,13,1,5
23900,16,15,1,21
23901,15,13,2,13
23902,12,12,1,12
23906,12,12,1,8
23908,22,11,1,8
23909,12,12,1,6
2391,13,12,2,4
23916,12,12,1,14
2392,19,15,2,55
23922,13,13,1,11
23923,14,12,1,15
23924,14,13,1,5
23926,11,11,2,32
2393,23,19,3,8
23930,13,13,2,4
23932,10,10,1,20
23940,11,11,2,49
23941,20,11,6,63
23943,17,16,1,5
23953,12,12,1,6
23954,12,12,1,6
23955,12,12,1,8
2396,18,14,2,4
23962,12,12,1,7
23965,13,13,1,6
23967,12,12,1,9
2397,12,11,2,2
23973,12,12,1,6
23980,12,12,1,5
23982,12,12,1,8
23983,12,12,1,7
23986,12,12,1,6
23987,15,15,2,14
23988,28,15,2,87
23991,12,12,1,5
23993,17,15,3,23
23997,12,12,1,11
240,11,11,1,7
24002,20,17,3,39
24005,12,12,1,11
24006,15,15,2,7
2401,16,12,3,15
24013,12,12,1,8
24023,12,12,1,8
24024,12,12,1,5
24031,19,16,3,14
24034,13,12,1,11
24039,12,12,1,12
24044,15,14,2,12
24045,13,13,2,18
24056,12,12,1,6
24061,12,12,1,6
24062,11,11,1,11
24063,31,14,4,6
24066,12,12,1,7
24067,12,12,1,17
24068,12,12,1,8
2407,13,12,2,9
24071,15,12,2,130
24072,11,11,1,14
24074,13,10,3,47
24075,12,12,1,6
24092,12,12,1,7
24094,12,12,1,7
24100,18,13,1,5
24101,12,12,1,7
24105,12,12,1,8
24112,22,19,3,257
24115,12,12,1,8
24120,13,13,2,5
2413,15,11,3,0
24132,15,14,1,5
24135,11,11,1,6
24141,11,11,1,7
24143,12,12,1,6
24146,16,14,2,5
2415,11,11,1,10
24150,12,12,1,7
24152,15,14,1,7
24160,15,13,2,7
24165,14,13,2,3
24167,12,12,2,3
24168,12,12,1,5
24169,12,12,1,6
2417,13,12,2,0
24170,14,13,1,8
24171,30,19,5,3
24172,12,12,1,13
24177,17,13,1,5
24179,12,12,1,11
24182,13,13,1,5
24184,11,11,1,7
24190,13,13,2,4
24192,13,13,1,10
24194,12,12,1,7
24195,13,12,1,13
242,11,11,1,4
2420,13,12,2,2
24200,18,13,1,11
24202,12,12,1,11
24203,12,12,1,6
24206,12,12,1,10
24208,12,12,1,7
24209,12,12,2,6
24212,12,12,1,7
24215,13,13,2,12
24224,13,13,1,3
24225,12,12,1,4
24229,12,12,1,5
2423,16,11,3,4
24238,16,15,2,5
24239,12,12,1,7
24241,12,12,1,4
24251,12,12,1,6
24252,12,12,1,7
24267,14,14,3,39
24269,13,13,1,23
2427,11,11,1,3
24271,12,12,1,3
24272,12,12,1,6
24276,16,11,5,49
24284,13,13,2,5
24298,12,12,1,7
24299,22,16,2,88
24303,12,12,1,6
24306,12,12,1,6
24311,13,13,1,5
24312,14,14,1,4
24317,12,12,1,6
2432,16,14,2,1
24320,12,12,1,5
24325,12,12,1,10
24328,13,13,1,6
24331,20,18,2,10
24332,12,12,1,13
24336,12,12,1,5
24338,9,9,1,31
24339,18,9,1,44
2434,13,12,2,0
24340,14,12,3,133
24343,13,13,2,10
24345,12,12,1,13
24349,19,15,1,5
2435,25,13,3,17
24350,23,17,1,6
24364,12,12,1,5
24366,12,12,1,5
24369,13,13,1,4
2437,11,11,1,1
24375,13,13,1,13
24383,14,13,2,4
24386,24,18,4,23
24390,12,12,1,5
24391,12,12,1,9
2440,12,11,1,12
24405,13,13,1,13
24406,15,14,1,5
2441,13,11,3,3
24413,18,14,4,13
24416,12,12,1,4
24417,12,12,1,13
24418,26,16,3,14
24419,12,12,1,4
2442,13,11,2,0
24420,12,12,1,12
24424,13,13,1,6
24428,11,11,1,220
2443,11,11,1,5
24434,12,12,1,4
24435,12,12,1,11
24436,12,12,1,9
24437,12,11,1,205
24440,12,12,1,5
24445,12,12,1,4
24450,13,13,2,3
24451,18,15,2,168
24452,13,13,1,5
24453,16,13,1,10
24455,13,13,1,6
24458,12,12,1,2
24459,12,12,1,11
24460,12,12,1,4
24462,12,12,1,11
24463,25,13,1,4
24464,12,12,1,4
24472,12,12,1,4
24474,13,13,1,3
24477,12,11,1,149
2448,23,12,2,0
24481,12,12,1,6
24486,13,13,2,5
24489,12,12,1,4
2449,5,5,1,177
24491,12,12,1,9
24498,15,15,2,4
245,15,13,3,6
24501,13,13,1,10
24502,12,12,1,12
24507,12,12,1,5
24508,12,12,1,3
24509,14,13,2,5
24514,12,12,1,6
24517,12,12,1,9
24518,11,11,1,68
2452,15,13,1,1
24524,12,12,1,4
24536,13,13,1,6
24537,22,15,2,2
24544,13,13,1,4
24547,15,13,1,4
24548,9,9,1,26
24549,12,12,1,9
24555,12,12,1,11
24556,30,23,3,273
24557,12,12,1,5
2456,16,11,2,43
24563,19,16,2,9
24564,12,12,1,4
24567,12,12,1,7
24574,9,9,1,72
24576,13,13,2,4
24578,12,12,1,6
2458,12,11,1,2
24584,12,10,2,107
24585,12,12,1,10
24587,13,13,1,3
2459,13,11,3,3
24590,12,12,1,6
24591,13,12,1,4
24594,12,12,1,4
24595,16,14,3,39
24597,12,12,1,3
24599,12,12,1,8
246,12,11,2,0
24605,18,12,1,8
24611,12,12,1,3
24613,12,12,1,3
24618,9,9,1,22
24621,12,12,1,15
24632,12,12,1,5
24637,12,12,1,8
24641,11,11,1,3
24647,12,12,1,5
24654,12,12,1,8
24655,12,12,1,3
24661,14,13,1,15
24665,13,13,2,4
24673,14,13,1,609
24675,12,12,1,3
24684,9,9,1,38
24688,15,14,3,21
24689,12,12,1,10
2469,34,19,2,1
24693,12,12,1,3
24694,15,14,2,1
24703,12,12,1,4
24708,16,15,2,282
24718,12,12,1,8
2472,11,11,1,2
24722,17,15,2,7
24723,12,12,1,3
24726,15,14,2,59
24728,12,12,1,13
24729,26,20,2,3
2473,16,11,3,95
24734,12,12,1,5
24735,12,12,1,5
24738,13,13,1,2
24742,12,12,2,75
24744,12,12,1,3
24745,12,12,1,5
24746,12,12,1,4
24748,15,14,1,5
24749,12,12,1,4
24750,11,6,3,39
24755,12,12,1,3
2476,13,12,2,11
24762,12,12,1,5
24765,18,15,2,2
24769,12,12,1,4
24771,14,13,1,4
24772,12,12,1,5
24773,12,12,3,2
24781,12,12,1,11
24783,12,12,1,4
24784,12,12,1,8
24787,12,12,1,9
24793,15,14,2,5
24798,9,9,1,56
24799,12,12,1,8
24810,15,15,2,7
24819,12,12,1,8
2482,16,13,2,3
24820,12,12,1,5
24821,12,12,1,4
24823,12,11,2,254
24827,13,13,1,9
24837,12,12,1,5
24839,13,13,2,8
24840,12,12,1,10
24845,12,12,1,5
24857,15,13,2,1
24858,12,12,1,4
2486,13,12,3,15
24860,12,12,1,5
24861,13,9,3,20
24866,11,10,1,29
24867,12,12,1,12
24870,12,12,1,17
24871,12,12,1,9
24876,27,20,4,349
24877,4,4,1,10
24879,13,13,1,5
2488,13,13,3,286
24886,15,15,1,10
24889,12,12,1,7
2489,17,11,2,0
24891,10,10,2,49
24893,12,12,1,7
24894,12,12,1,3
24898,15,15,1,4
2490,20,17,6,22
24909,12,12,1,4
2491,21,15,2,1
24912,27,13,3,22
24913,15,14,2,303
24922,12,12,1,8
24926,18,16,2,2
24930,12,12,1,8
24931,12,12,1,4
24935,12,12,1,2
24936,12,12,1,7
24940,12,12,1,3
24944,13,13,1,3
24959,12,12,1,3
24961,12,12,1,8
24962,16,12,1,7
24969,9,9,2,55
24970,13,12,1,4
24974,38,13,1,4
24977,9,9,1,25
24981,12,12,1,4
24990,12,12,1,3
24998,12,12,1,2
250,11,11,1,5
25001,12,12,2,30
25004,12,12,1,4
25005,12,12,1,15
2501,13,11,2,2
25012,15,14,1,2
25015,12,12,1,2
25016,12,12,1,3
25022,13,12,1,3
25024,15,10,3,63
25028,12,12,1,14
25030,12,12,1,7
25031,13,13,1,11
25032,12,12,1,10
25033,11,11,2,38
25035,12,12,1,2
25036,12,12,1,7
2504,14,12,3,6
25049,12,12,1,8
2505,12,11,2,0
25051,12,12,1,3
25053,10,9,2,192
25058,12,12,1,4
25059,13,13,1,8
25066,13,13,1,2
25069,12,12,1,8
25073,12,12,1,8
25074,15,13,2,5
25079,12,12,1,2
25081,12,12,1,10
25085,12,12,1,10
25087,15,13,2,4
25090,10,10,1,26
25091,12,12,1,8
25094,12,12,1,2
25098,19,15,2,68
251,13,11,2,5
2510,23,12,2,6
25102,9,9,1,85
25104,14,13,2,10
25105,15,15,2,7
25106,12,12,1,7
25114,12,12,1,3
25121,12,12,1,3
25123,22,16,5,7
25128,14,14,2,3
25130,11,11,1,161
25131,17,14,2,3
25132,14,13,1,2
25135,12,12,1,10
25137,14,13,2,2
25138,17,16,3,0
25139,27,23,2,399
25140,15,15,3,5
25144,21,10,1,27
25150,24,12,1,9
25153,12,12,1,8
25154,14,14,2,2
2516,18,12,2,0
25164,12,12,1,3
25167,13,13,1,3
25175,12,12,1,7
25176,9,9,1,31
25178,12,12,1,4
25184,13,13,1,11
25189,13,13,1,10
2519,12,11,2,2
25190,12,12,1,3
25191,14,14,1,4
25194,12,12,1,8
25201,12,12,1,4
25208,11,11,1,9
2521,19,13,2,1
25216,29,18,7,21
25219,12,12,1,7
25220,12,12,1,7
25222,12,12,1,3
25224,13,13,2,3
25225,13,13,2,7
25226,12,12,1,2
25235,12,12,1,2
2524,11,11,1,20
25247,12,12,1,3
25255,18,13,1,3
25257,12,12,1,8
25259,12,12,1,15
25263,19,16,2,19
25273,19,17,2,19
25274,14,13,1,3
25275,12,12,1,3
25279,16,13,1,11
2528,11,11,1,3
25280,12,12,1,5
25282,12,12,1,17
25285,16,15,3,212
25288,13,13,1,7
25289,16,14,2,0
2529,13,12,2,2
25291,13,13,1,9
25292,12,12,1,7
253,16,12,2,6
25303,12,12,1,15
25317,12,12,1,6
25326,12,12,1,7
25333,16,13,3,5
25335,12,12,1,9
25336,13,13,1,3
25345,10,10,1,33
25346,13,13,1,2
25347,9,9,1,56
25349,13,13,1,7
25350,28,13,1,2
25352,12,12,1,7
25355,14,13,1,8
25357,16,16,3,15
25359,11,11,1,10
25363,13,13,2,2
25367,18,14,3,10
25368,12,12,1,10
2537,11,11,1,9
25370,12,12,1,9
25373,12,12,1,2
25375,13,13,2,6
25377,12,12,1,8
25379,12,12,1,3
25385,12,12,1,7
25394,12,12,1,12
254,23,12,2,6
2540,67,12,1,2
25405,12,12,1,7
25410,9,9,1,22
25412,21,13,2,6
25414,12,12,1,3
25418,12,12,1,3
25420,13,13,1,7
25427,14,14,3,1
2543,14,13,3,1
25430,11,10,2,29
25434,12,12,1,6
25435,14,13,1,9
25441,12,12,1,3
25442,12,12,1,9
25444,12,12,1,3
25445,13,13,1,3
25446,20,13,4,0
25447,13,13,2,14
25448,21,13,3,22
2545,12,11,1,4
25455,12,11,2,25
25457,12,12,1,3
25458,12,12,1,6
25459,12,12,1,3
25461,12,12,1,9
25462,12,12,1,6
25464,13,13,2,6
25467,16,15,2,6
25468,12,12,2,0
25469,21,15,2,208
2547,17,13,3,2
25470,14,13,3,5
25472,16,16,3,5
25473,12,12,1,3
25475,12,12,1,6
25476,15,15,1,12
25478,12,11,1,8
2548,17,12,2,5
25480,12,12,1,3
25482,9,9,1,67
25484,12,12,1,18
25487,12,12,1,6
25490,12,12,1,3
25494,38,20,4,0
25495,12,12,1,21
255,12,12,2,9
