Idx,kind_of_L1,kind_of_L2,num_of_logins,between_early,between_late
17943,2,3,29,4,0
17945,6,7,37,36,3
17947,5,5,7,10,10
17953,4,5,7,9,9
17954,4,5,17,9,4
17957,4,7,26,5,0
17958,4,6,10,11,3
17959,4,6,38,55,1
17962,6,5,23,10,0
17963,6,5,11,9,1
17964,6,6,18,27,0
17965,4,7,31,11,0
17968,4,7,13,4,0
17969,8,7,12,4,0
17970,4,4,8,6,0
17972,6,7,15,33,0
17973,6,6,22,12,0
17979,3,4,10,33,0
17980,7,6,85,11,0
17982,6,5,36,5,0
17989,4,6,64,25,0
17991,8,8,75,112,0
18009,4,6,35,6,0
18010,5,6,50,578,1
18013,8,8,56,22,0
18017,4,4,12,201,1
18023,5,5,26,12,3
18025,6,6,79,21,0
18028,4,6,8,8,0
18031,6,6,15,5,2
18033,6,8,15,10,0
18034,4,5,17,11,0
18035,4,5,48,14,0
18037,5,6,20,178,0
18039,6,8,42,31,0
18053,4,6,8,15,0
18061,5,6,8,5,0
18065,6,6,23,5,0
18066,6,8,28,5,0
18071,6,7,61,10,0
18072,4,6,22,10,0
18073,4,6,10,5,0
18079,4,5,9,9,2
18083,5,8,70,827,0
18091,4,5,7,4,4
18094,4,6,21,10,0
18099,4,5,7,10,10
18101,4,6,9,9,4
18105,4,6,8,8,0
18106,3,3,25,58,0
18108,4,5,8,15,15
18111,4,6,11,9,0
18112,4,5,14,10,0
18116,6,5,11,10,3
18117,4,6,13,10,0
18123,4,5,29,10,0
18130,4,6,12,15,0
18136,4,7,13,5,0
18139,4,6,35,9,0
18140,5,6,23,5,0
18143,6,8,42,11,1
18144,6,6,20,12,1
18145,4,6,12,5,2
18148,4,5,10,8,5
18150,4,7,10,5,0
18151,4,7,19,9,0
18152,4,6,10,8,0
18162,4,5,15,3,1
18164,4,5,11,4,0
18166,4,5,21,11,2
18167,4,6,18,8,0
18171,5,6,15,14,1
18174,4,5,13,11,2
18178,4,5,7,8,8
18181,4,5,8,7,0
18185,4,6,11,28,0
18188,4,6,10,8,1
18189,4,7,15,4,0
18191,4,5,17,27,0
18195,4,7,13,8,0
18196,6,5,30,26,1
18199,6,7,58,14,1
18200,4,5,7,8,8
18204,4,6,9,7,2
18210,4,6,14,4,1
18212,6,5,26,14,2
18216,4,6,12,22,0
18221,6,6,21,31,2
18223,8,10,158,15,0
18229,4,7,20,10,0
18234,5,10,57,1062,0
18235,4,5,18,3,0
18237,4,6,29,10,1
18243,4,6,8,7,0
18244,4,5,13,7,1
18246,4,5,8,14,5
18249,7,6,21,4,2
18250,4,6,54,9,0
18251,10,7,61,338,0
18253,6,7,11,114,7
18274,4,5,21,4,0
18276,4,6,12,25,0
18280,4,6,21,9,1
18282,4,5,7,9,9
18287,4,5,12,14,0
18292,4,6,9,10,0
18295,4,5,17,7,0
18302,4,5,24,16,1
18309,4,5,7,7,7
18316,4,5,25,19,3
18317,4,4,10,7,0
18320,6,7,17,480,0
18322,6,7,30,26,2
18323,4,4,21,178,1
18328,4,5,10,6,2
18329,4,6,17,13,0
18332,4,6,29,41,0
18333,4,7,39,17,0
18337,6,7,38,7,0
18338,6,5,9,3,2
18339,6,6,23,3,0
18340,6,6,47,14,1
18341,4,7,15,29,0
18349,7,5,100,699,0
18351,5,5,21,49,0
18360,4,5,27,8,0
18361,4,6,11,7,0
18365,4,6,11,3,0
18366,6,6,28,7,0
18369,6,6,21,163,0
18371,4,6,8,9,0
18372,4,6,8,6,0
18375,7,5,76,48,3
18377,4,6,8,3,0
18378,4,6,12,6,0
18379,4,6,10,7,0
18380,4,6,8,6,0
18381,7,6,28,597,0
18383,6,8,53,9,0
18388,6,6,40,7,1
18392,4,6,11,7,0
18393,4,6,15,6,1
18394,4,5,7,13,13
18396,4,6,19,27,0
18408,4,6,18,7,0
18413,4,6,21,7,0
18415,4,5,18,42,1
18418,6,7,42,10,0
18419,4,6,21,30,0
18420,4,6,33,7,0
18425,4,6,25,3,0
18426,4,6,35,6,0
18428,4,6,13,3,0
18429,4,5,10,7,0
18432,4,6,21,18,0
18435,3,4,18,9,0
18437,8,9,47,14,0
18438,4,5,9,3,0
18441,4,6,11,53,0
18445,4,5,19,120,1
18448,4,6,54,24,0
18449,4,5,20,227,1
18452,4,5,8,6,5
18455,4,5,8,7,5
18462,4,5,8,7,6
18463,4,6,35,15,0
18467,6,6,34,8,0
18470,4,6,29,10,0
18474,4,6,9,15,0
18477,4,6,9,6,0
18479,6,6,24,6,0
18480,4,7,23,6,0
18483,5,6,18,1134,0
18492,4,6,14,3,0
18495,4,6,25,28,0
18500,4,7,59,10,0
18501,4,5,7,15,15
18503,7,6,72,9,1
18507,4,7,28,18,0
18510,4,5,18,10,0
18515,4,6,16,7,0
18516,6,7,39,14,0
18518,4,6,15,13,0
18520,9,9,74,9,0
18523,4,5,43,16,0
18532,4,5,7,15,15
18535,4,6,50,18,1
18536,5,7,36,6,0
18537,4,5,29,15,1
18540,4,5,14,27,4
18544,4,6,43,18,0
18545,4,6,11,7,0
18546,4,7,24,9,0
18548,6,5,37,21,0
18553,4,5,24,6,1
18557,4,5,18,9,1
18565,4,7,15,6,0
18567,4,6,12,10,0
18572,5,5,16,204,2
18578,4,5,11,9,1
18580,4,5,14,205,0
18583,4,5,26,8,0
18584,6,5,48,16,0
18590,4,6,16,2,0
18591,3,3,6,21,5
18608,4,7,10,5,0
18615,7,8,19,5,0
18620,6,6,36,694,0
18624,4,4,6,10,0
18625,4,5,10,5,0
18626,6,7,46,13,1
18628,4,7,12,9,0
18634,4,5,14,12,0
18636,4,5,9,6,1
18642,6,7,15,6,0
18645,4,6,8,9,0
18647,4,6,32,11,0
18649,4,5,9,12,0
18651,6,7,35,11,0
18652,4,6,17,6,0
18655,4,5,9,6,4
18656,4,6,15,6,0
18660,4,6,17,26,0
18670,6,6,16,9,0
18676,4,5,12,26,0
18677,4,7,15,42,0
18684,4,5,53,12,0
18686,4,6,9,5,0
18692,4,6,11,14,0
18700,6,5,51,163,2
18702,8,8,47,7,0
18705,4,6,10,8,0
18707,6,7,84,46,0
18710,4,5,18,11,1
18711,4,6,15,7,0
18713,4,6,17,12,0
18721,4,5,39,11,0
18723,4,5,22,10,3
18724,4,5,14,11,2
18730,4,5,16,15,5
18731,3,3,22,8,0
18739,4,5,18,11,8
18741,6,6,45,5,0
18748,4,6,15,10,0
18751,4,6,12,13,0
18752,8,7,20,6,0
18753,2,3,25,53,5
18757,4,5,9,11,5
18759,4,6,11,11,3
18766,5,6,21,12,2
18767,5,6,23,8,0
18774,6,7,111,24,0
18775,6,7,31,6,0
18779,4,6,13,5,0
18781,4,5,24,13,0
18782,4,6,11,8,0
18783,4,6,9,7,0
18786,4,6,37,8,0
18793,4,5,9,7,3
18804,4,5,18,10,0
18808,5,7,17,7,0
18809,6,6,48,24,0
18811,8,9,46,150,0
18813,4,5,7,11,11
18815,5,7,23,6,0
18818,6,6,12,9,0
18824,6,5,39,14,0
18831,4,6,11,20,0
18833,6,5,13,7,2
18834,4,6,19,8,0
18836,4,6,28,10,0
18838,4,6,13,10,1
18851,6,6,20,8,0
18853,4,5,50,7,0
18854,4,7,14,8,0
18856,6,5,65,12,0
18857,5,6,40,6,0
18861,4,6,42,7,0
18863,4,6,9,11,0
18864,4,6,15,10,0
18870,4,5,23,15,0
18872,4,7,17,6,0
18874,4,5,14,11,4
18878,4,7,14,6,0
18881,4,6,14,11,0
18891,5,7,16,33,5
18895,4,6,10,5,4
18901,4,6,16,11,0
18902,4,6,40,28,0
18903,6,5,26,44,0
18904,4,5,8,1,0
18907,8,9,61,163,0
18913,5,7,31,8,0
18918,8,6,19,1,0
18920,4,6,22,6,0
18923,8,6,35,260,0
18926,7,7,61,37,0
18928,5,6,25,40,0
18929,4,6,12,48,1
18931,6,7,40,716,2
18933,6,6,30,8,0
18934,4,5,10,8,2
18940,6,6,22,10,2
18941,4,5,43,20,0
18942,4,6,21,6,0
18944,4,5,12,13,6
18947,6,8,38,23,1
18948,4,5,19,24,0
18952,6,6,40,179,0
18954,6,7,24,54,0
18957,5,6,16,298,5
18958,4,6,11,11,0
18959,4,6,17,163,0
18960,6,5,29,13,0
18964,4,6,25,7,0
18965,4,6,17,8,1
18970,5,5,11,15,1
18971,4,5,9,8,2
18972,4,6,15,8,0
18973,5,5,51,1131,0
18978,4,7,24,7,0
18979,4,7,20,11,0
18980,4,6,11,4,0
18982,4,5,22,160,4
18985,4,5,9,12,0
18986,6,6,31,23,0
18988,4,6,24,15,0
18990,5,6,67,53,0
19000,4,5,8,4,4
19002,4,5,15,11,3
19005,5,5,7,10,10
19006,6,6,32,118,0
19011,7,7,30,12,0
19013,6,6,14,12,0
19015,4,6,10,6,0
19021,2,2,4,6,2
19022,9,8,53,377,0
19032,6,6,19,46,3
19035,6,5,12,8,1
19041,4,4,85,60,0
19042,6,5,13,13,2
19044,4,6,12,5,0
19046,4,6,26,12,0
19048,4,5,7,6,6
19050,5,5,40,5,0
19052,5,7,10,7,0
19054,5,5,17,6,0
19060,8,6,40,138,0
19061,6,6,24,10,0
19066,4,6,14,7,0
19068,4,6,9,7,0
19070,4,6,14,6,1
19077,8,6,23,523,1
19079,6,6,18,26,0
19080,4,7,16,5,0
19087,7,7,28,1018,1
19089,4,7,31,8,0
19091,6,7,19,4,0
19092,4,5,23,219,0
19093,4,6,48,22,0
19096,4,5,13,5,2
19101,4,6,13,6,0
19102,4,5,14,5,1
19110,4,7,14,6,0
19113,4,6,15,5,0
19114,6,5,33,38,0
19118,5,5,105,19,0
19120,4,7,10,10,0
19121,4,6,10,5,0
19125,8,6,20,401,2
19130,4,5,9,6,2
19143,4,5,11,3,0
19149,4,5,7,9,9
19150,4,6,18,6,0
19151,4,6,16,11,0
19153,5,5,27,577,0
19155,6,6,69,63,0
19160,4,7,21,171,0
19161,4,5,8,9,9
19163,4,5,14,7,0
19167,4,5,7,4,4
19171,4,4,18,47,0
19173,4,6,14,4,0
19178,6,6,33,5,0
19180,5,6,28,12,0
19185,5,6,23,130,0
19190,4,6,33,4,0
19195,4,6,8,4,0
19196,4,6,12,12,10
19197,7,8,103,1194,0
19205,4,5,9,4,3
19207,4,6,8,6,0
19208,4,5,10,9,9
19210,6,8,37,232,0
19211,4,5,10,4,3
19215,6,6,18,4,0
19216,6,7,15,7,2
19224,4,5,9,5,2
19226,6,6,15,6,2
19229,6,5,19,19,0
19241,6,8,147,15,0
19243,4,4,9,109,4
19249,4,6,9,5,0
19250,4,5,7,7,7
19254,8,6,22,413,2
19256,5,6,12,6,1
19257,7,9,33,4,0
19266,4,6,11,6,0
19267,7,6,30,12,0
19269,4,5,8,5,0
19273,4,6,12,6,3
19277,4,6,13,5,0
19285,4,6,11,6,0
19287,5,5,20,720,1
19291,4,5,10,3,0
19293,4,5,19,6,0
19294,4,5,16,23,1
19297,3,2,44,8,0
19299,5,6,19,5,0
19300,5,5,28,8,0
19310,5,7,19,9,0
19315,4,5,17,5,0
19324,4,5,7,4,4
19325,4,5,8,12,9
19326,4,6,16,11,0
19327,5,7,103,7,0
19329,4,7,30,4,0
19330,4,5,7,5,5
19333,6,9,45,4,0
19336,4,5,13,6,0
19341,4,6,46,32,1
19342,5,7,20,47,0
19344,4,5,7,11,11
19350,4,6,11,3,0
19351,4,6,8,4,0
19356,4,6,8,6,0
19359,4,7,13,28,0
19366,4,5,8,6,6
19372,6,7,38,25,1
19376,7,6,19,9,1
19380,4,5,9,6,2
19381,5,7,18,10,0
19383,4,5,10,5,0
19384,6,6,14,4,0
19387,5,5,15,9,3
19389,4,6,10,10,0
19391,4,5,25,4,0
19393,4,5,7,9,9
19398,4,5,9,11,1
19401,4,5,17,5,0
19403,4,5,11,4,0
19405,4,6,11,3,1
19408,6,7,21,29,0
19409,5,6,11,5,3
19412,4,5,10,5,3
19415,7,8,20,4,0
19417,4,7,53,5,0
19423,4,5,8,8,7
19428,4,6,45,43,2
19432,4,6,14,9,0
19433,4,6,9,6,2
19434,6,9,26,5,0
19435,4,6,13,6,1
19441,5,6,14,6,0
19442,6,6,26,6,0
19443,6,7,27,27,0
19445,4,6,19,175,1
19448,4,5,14,9,1
19449,6,7,32,5,2
19450,4,5,8,5,3
19453,4,6,9,13,0
19458,6,7,29,6,0
19460,6,7,24,5,0
19461,5,5,7,4,4
19462,4,5,17,6,1
19465,5,5,11,8,5
19466,4,5,20,29,5
19469,4,6,10,4,1
19473,4,5,32,4,0
19474,5,5,29,4,0
19479,5,5,17,8,0
19480,4,5,27,10,0
19486,4,5,11,6,3
19487,4,5,7,9,9
19488,4,6,11,4,0
19494,4,6,16,4,0
19503,4,5,8,5,5
19505,4,5,11,3,0
19508,4,6,10,8,0
19510,6,6,26,26,0
19513,4,6,9,7,5
19519,4,6,15,5,2
19522,4,6,17,5,0
19526,4,6,28,17,0
19529,7,5,39,423,0
19530,6,8,19,11,0
19531,8,8,72,12,0
19533,6,6,11,3,2
19534,5,5,17,14,1
19535,4,5,17,8,0
19539,4,5,13,10,3
19540,5,6,14,3,1
19541,4,5,14,41,1
19552,4,6,10,10,0
19553,5,6,16,288,0
19558,4,6,21,4,0
19559,5,6,23,10,1
19562,6,6,14,8,0
19565,3,3,48,57,0
19566,4,6,9,4,0
19569,4,6,9,4,0
19573,4,6,8,9,0
19579,2,2,13,35,0
19580,5,4,188,40,0
19583,4,5,15,8,0
19588,6,6,15,5,0
19590,4,6,10,3,0
19592,6,8,34,866,0
19595,4,6,21,2,0
19596,4,7,32,5,0
19597,4,6,9,7,6
19598,4,6,12,5,0
19599,4,6,8,2,2
19602,4,5,7,5,5
19607,4,6,12,14,0
19609,4,6,8,13,0
19610,4,5,7,5,5
19611,5,7,43,11,0
19615,6,6,31,20,0
19616,4,5,8,4,4
19617,4,5,7,4,4
19622,5,6,10,4,0
19623,4,6,8,4,0
19626,4,6,20,13,0
19627,4,4,64,127,0
19631,4,5,12,4,1
19641,5,7,28,5,0
19642,4,5,12,9,0
19644,4,7,16,3,0
19646,4,6,11,4,0
19652,4,7,17,14,0
19654,8,8,215,17,0
19657,5,6,28,122,0
19658,6,7,42,315,1
19660,5,7,34,8,0
19662,8,10,113,4,0
19663,5,6,14,8,0
19664,5,6,16,7,1
19666,8,9,119,189,1
19670,4,5,8,7,7
19672,4,5,7,5,5
19674,4,5,7,11,11
19676,4,7,10,7,0
19682,6,7,26,7,0
19686,8,9,65,176,0
19688,4,5,14,4,0
19697,4,6,9,4,0
19699,6,6,38,9,0
19706,4,7,16,7,0
19709,2,2,17,3,0
19716,6,6,36,4,0
19717,4,5,12,7,0
19718,2,2,8,54,0
19725,4,8,22,8,0
19729,6,7,84,14,0
19730,4,5,20,8,0
19732,6,6,21,7,4
19736,4,5,11,4,1
19739,2,2,20,32,0
19746,4,6,10,34,0
19750,4,5,9,34,3
19751,4,8,13,3,0
19752,4,7,17,4,0
19754,4,6,17,6,5
19757,6,6,33,159,1
19759,4,6,25,8,1
19765,4,7,16,4,0
19767,4,5,22,6,0
19773,6,6,31,57,1
19775,4,5,7,7,7
19778,5,7,57,7,0
19783,7,5,29,676,1
19788,4,5,8,5,5
19796,4,5,8,8,8
19800,4,7,28,11,1
19803,4,6,13,7,0
19806,6,9,16,4,0
19807,4,5,17,37,0
19812,6,5,19,23,1
19814,4,6,12,3,0
19816,7,6,43,11,0
19817,5,7,23,5,0
19824,6,6,22,281,0
19826,4,6,18,8,0
19831,4,5,9,7,5
19837,4,6,18,199,0
19839,8,8,26,321,0
19842,5,6,34,7,0
19843,4,5,27,4,1
19850,4,5,16,4,0
19858,4,5,14,9,0
19860,5,6,20,7,1
19865,4,5,8,54,8
19867,8,8,18,272,0
19868,4,6,11,8,0
19876,4,5,7,9,9
19877,4,5,45,15,1
19881,6,7,14,5,0
19882,4,6,20,13,1
19887,4,6,10,4,0
19889,5,6,65,15,0
19894,4,7,12,4,0
19896,4,5,22,8,1
19898,3,2,23,8,0
19901,4,6,30,777,0
19906,4,5,10,8,1
19910,4,6,10,7,4
19914,4,6,24,5,0
19915,4,5,9,3,1
19916,5,5,53,6,0
19924,4,5,11,7,6
19926,4,5,20,7,0
19927,5,7,19,26,2
19928,6,5,17,8,1
19930,5,6,35,6,1
19931,4,7,12,8,0
19932,6,8,14,4,0
19933,4,5,18,8,0
19934,4,5,8,7,5
19938,4,6,21,3,0
19943,6,6,13,6,0
19951,4,6,8,6,0
19960,4,5,13,8,1
19963,2,2,7,6,4
19964,4,5,13,22,1
19965,5,6,16,15,1
19968,5,6,13,10,0
19970,8,7,40,8,0
19976,6,6,98,29,0
19980,4,5,12,14,2
19984,6,7,22,5,0
19990,5,5,17,6,1
19999,3,3,12,44,0
20001,4,5,9,6,0
20002,7,6,22,6,1
20006,4,5,14,20,2
20008,4,5,8,6,0
20009,4,6,40,14,0
20010,4,6,10,6,0
20011,5,5,20,5,0
20012,4,6,8,9,0
20014,4,6,12,6,0
20016,6,7,13,6,0
20019,4,5,26,7,0
20023,6,5,21,6,0
20025,4,6,12,14,2
20027,4,6,17,8,0
20029,7,6,41,7,1
20032,5,8,92,51,0
20033,4,5,13,7,0
20048,4,6,13,46,0
20050,4,5,24,6,0
20052,4,6,28,6,0
20053,6,5,28,6,0
20054,4,7,166,36,0
20056,4,5,15,7,0
20059,4,5,37,15,1
20063,4,6,12,3,0
20064,4,6,8,3,0
20070,4,6,24,8,0
20071,4,5,9,14,1
20073,4,5,28,7,0
20080,4,6,11,6,0
20082,5,6,36,6,0
20086,6,5,28,471,0
20093,4,5,7,7,7
20095,4,7,13,6,0
20096,4,5,12,8,2
20099,4,5,14,7,0
20116,4,6,9,12,2
20118,5,6,10,6,0
20122,4,7,13,5,2
20137,4,6,28,6,0
20141,6,8,39,12,0
20144,6,5,81,43,0
20147,2,2,4,5,1
20149,4,5,7,3,3
20150,4,6,16,7,1
20151,4,4,27,35,0
20160,4,5,7,13,13
20164,4,6,11,6,0
20167,4,6,9,3,0
20173,7,8,16,7,0
20179,4,6,13,3,0
20183,4,5,17,26,0
20188,6,5,54,153,0
20189,4,5,17,15,0
20191,5,6,34,3,0
20196,4,6,17,7,0
20197,4,5,7,7,7
20199,4,6,15,6,0
20201,2,2,28,7,0
20202,4,5,10,5,1
20203,6,5,56,108,0
20205,4,6,11,3,1
20206,6,6,20,7,0
20207,4,6,8,15,0
20212,5,4,12,729,1
20214,4,6,24,3,0
20215,6,7,10,7,0
20219,4,6,23,8,0
20220,4,5,7,2,2
20223,4,6,10,7,0
20233,4,5,16,6,0
20242,4,6,15,133,1
20243,6,6,12,7,2
20247,4,7,32,29,0
20249,4,6,15,24,2
20251,4,4,19,41,0
20252,5,7,17,6,0
20253,4,5,7,7,7
20256,4,5,10,7,7
20257,8,9,119,846,0
20259,4,5,14,15,13
20270,6,7,53,51,0
20271,4,5,9,6,3
20275,4,6,10,12,0
20277,5,5,15,6,4
20278,6,7,32,9,0
20279,4,6,11,6,0
20281,4,5,8,5,5
20285,4,5,9,8,1
20286,4,5,8,2,0
20287,4,6,13,6,0
20291,4,6,11,4,0
20292,6,7,24,6,0
20296,6,6,24,448,0
20300,4,6,14,1,0
20305,4,7,59,56,0
20306,5,5,58,179,0
20308,4,6,56,111,0
20311,4,6,8,2,0
20313,4,6,23,53,0
20324,4,5,10,2,1
20326,7,7,45,982,0
20327,4,5,39,7,0
20328,4,6,17,13,3
20334,8,4,27,774,0
20336,4,6,19,20,0
20339,4,5,7,2,2
20341,4,7,10,5,0
20344,4,6,13,21,0
20346,5,5,18,8,7
20347,6,8,51,1019,1
20350,4,5,8,14,1
20354,4,6,9,6,0
20357,4,6,11,6,0
20358,4,6,8,11,0
20360,5,6,24,7,0
20364,4,5,36,37,0
20366,7,7,20,6,0
20369,6,7,15,2,1
20373,8,8,49,943,0
20375,4,7,30,41,0
20378,5,5,20,6,0
20379,4,6,8,5,0
20380,5,5,13,2,2
20383,4,5,8,7,3
20393,5,7,22,7,0
20395,4,6,12,9,0
20397,4,6,11,8,0
20406,4,5,18,6,0
20421,4,5,10,7,3
20424,4,6,15,1,0
20425,6,6,17,997,1
20426,6,7,19,4,2
20427,5,6,9,11,4
20432,4,5,7,6,6
20433,6,7,82,9,0
20434,4,5,7,5,5
20435,5,4,10,4,0
20437,6,8,24,21,0
20447,4,6,26,26,0
20450,7,7,25,124,1
20457,4,6,10,45,0
20462,4,6,9,8,0
20464,5,6,44,4,0
20469,4,6,31,8,0
20470,4,7,42,14,0
20471,5,6,11,8,0
20474,4,6,9,5,0
20476,6,5,51,9,0
20481,4,5,7,5,5
20485,6,8,42,11,0
20499,6,5,51,176,0
20500,4,6,12,16,0
20507,5,7,18,3,0
20508,4,6,11,5,0
20512,7,8,27,637,0
20515,5,5,23,5,0
20522,5,5,15,7,2
20526,4,5,17,13,0
20528,4,5,16,7,1
20530,4,7,15,5,0
20531,6,7,76,14,1
20532,4,7,15,6,0
20533,4,7,11,4,0
20535,8,9,108,10,0
20536,5,7,29,23,0
20540,6,8,26,10,0
20542,6,6,24,7,1
20544,4,5,14,7,7
20550,7,7,25,366,3
20553,4,6,16,6,0
20556,5,6,50,37,0
20558,4,5,23,7,0
20562,6,8,12,6,0
20568,4,5,9,8,2
20572,4,6,16,15,0
20573,4,5,13,12,0
20574,4,7,22,7,0
20575,4,6,69,13,0
20581,6,6,37,5,0
20583,6,6,240,690,0
20592,5,6,34,19,1
20593,6,7,39,41,0
20596,4,5,25,7,0
20597,6,6,16,8,0
20602,5,5,25,5,1
20604,5,6,12,5,0
20605,6,6,10,2,0
20612,4,5,8,27,5
20613,4,6,11,1,0
20619,4,5,10,7,2
20622,4,6,10,8,4
20624,4,6,8,2,0
20627,4,6,22,6,6
20629,7,6,20,8,2
20631,4,5,10,13,3
20632,4,5,8,6,6
20633,4,5,7,8,8
20642,5,6,13,0,0
20645,4,6,10,4,0
20646,4,6,43,38,1
20648,6,7,117,581,0
20651,4,6,9,4,0
20655,4,7,27,6,3
20657,5,5,8,4,4
20661,5,8,27,7,0
20673,3,4,13,3,0
20679,4,5,11,6,1
20680,7,7,56,13,0
20681,4,5,9,8,2
20682,5,6,13,4,0
20686,4,6,44,211,0
20687,4,7,13,4,0
20692,4,6,13,8,0
20696,4,6,21,6,0
20697,8,8,35,7,0
20700,4,5,20,6,0
20702,6,7,19,3,1
20705,2,2,7,5,0
20709,4,5,7,3,3
20716,7,6,22,7,1
20726,4,7,29,12,0
20732,6,8,19,7,0
20734,4,5,16,4,2
20736,6,5,39,9,0
20739,4,5,17,7,0
20740,5,6,14,998,2
20742,6,5,26,500,0
20751,4,7,20,5,0
20756,4,5,22,6,2
20760,4,5,11,5,5
20762,6,7,12,8,0
20763,4,5,7,7,7
20765,5,6,12,5,2
20767,5,6,23,14,0
20768,4,6,10,237,2
20771,5,6,11,6,0
20773,4,6,12,6,0
20779,4,7,19,8,0
20781,7,6,26,8,0
20783,4,6,15,13,1
20785,6,9,105,20,0
20786,4,6,9,10,0
20789,5,6,27,5,0
20796,4,5,7,7,7
20797,5,7,48,7,0
20798,4,5,17,6,1
20803,4,6,14,19,0
20804,4,6,13,3,1
20808,4,6,15,6,0
20812,5,6,30,4,0
20815,6,8,34,594,0
20817,4,6,15,2,0
20818,4,6,10,5,0
20824,4,6,9,7,0
20827,6,7,31,14,0
20829,4,5,23,7,0
20830,4,7,15,7,0
20831,6,5,13,1,0
20837,4,6,8,8,0
20838,6,6,27,1201,0
20839,7,7,25,580,0
20841,7,7,34,14,0
20844,4,5,10,8,6
20846,6,8,37,6,0
20848,4,7,10,6,0
20849,4,6,8,6,0
20850,4,5,12,7,1
20851,4,7,22,6,0
20852,4,6,20,8,0
20854,4,6,13,7,1
20859,4,6,8,9,0
20861,4,5,8,6,6
20862,6,7,19,159,0
20869,4,6,8,3,0
20870,5,4,22,5,0
20876,4,5,10,129,2
20877,4,6,17,7,0
20879,4,6,10,5,0
20888,4,5,8,6,1
20889,6,6,12,6,0
20893,7,6,15,2,0
20896,4,5,7,3,3
20901,7,8,21,2,0
20904,4,6,20,4,0
20906,4,5,19,12,1
20908,4,7,30,7,0
20909,4,5,11,4,0
20911,4,7,25,54,2
20913,4,6,8,10,0
20914,6,6,22,6,0
20915,4,6,23,3,0
20918,4,5,12,2,0
20919,4,5,22,3,0
20937,4,6,14,33,0
20939,4,5,7,3,3
20940,6,5,21,5,0
20941,5,5,18,4,4
20942,4,5,9,2,2
20944,5,5,41,4,0
20949,4,5,9,11,8
20954,4,7,23,11,0
20955,4,6,13,2,0
20957,4,5,7,10,10
20963,4,7,27,5,0
20967,6,6,17,4,3
20970,6,6,25,2,0
20974,5,5,22,877,0
20976,9,6,44,367,0
20978,4,6,8,5,0
20979,4,5,14,7,0
20985,4,4,8,4,0
20986,4,5,12,4,0
20994,7,7,29,13,0
20997,4,7,22,45,0
20999,5,6,12,45,3
21000,6,8,41,12,0
21003,4,5,25,6,0
21005,4,5,14,10,0
21008,4,5,8,4,3
21009,4,5,10,3,0
21010,4,6,16,11,0
21016,4,6,9,7,0
21018,4,6,47,45,0
21020,4,5,14,4,1
21022,6,7,14,7,0
21026,4,7,12,6,0
21027,5,6,15,23,3
21028,4,5,8,4,3
21029,4,6,10,13,0
21031,4,5,7,4,4
21033,4,5,8,4,3
21034,5,5,31,34,0
21036,4,5,14,7,1
21039,4,5,8,6,6
21040,6,6,23,4,0
21043,6,6,23,923,0
21048,4,6,8,5,0
21053,6,10,308,6,0
21056,4,5,17,5,0
21057,4,5,13,4,1
21059,3,3,10,36,0
21061,4,6,16,5,0
21064,6,5,12,5,0
21067,5,7,20,5,0
21069,4,6,17,5,0
21076,5,6,18,3,0
21078,7,7,23,5,0
21079,8,8,53,10,0
21085,6,7,19,4,0
21088,2,2,9,68,1
21091,4,6,9,6,0
21092,4,5,7,6,6
21094,9,8,27,44,0
21095,5,6,8,4,0
21096,4,6,12,3,0
21100,4,6,9,3,0
21102,5,5,50,10,0
21110,5,6,12,2,0
21113,4,6,8,6,0
21116,6,6,51,22,0
21120,7,7,43,4,0
21121,4,5,13,3,1
21122,4,6,10,6,0
21128,4,7,20,36,0
21130,7,6,21,5,0
21131,4,5,7,1,1
21136,4,6,12,5,3
21144,3,4,7,6,0
21145,4,5,11,8,5
21150,4,5,9,3,2
21155,4,5,7,15,15
21161,4,6,10,4,0
21167,4,5,8,1,0
21169,5,6,24,5,0
21171,4,7,14,4,0
21177,6,5,29,4,1
21178,6,7,12,3,0
21183,6,5,13,3,0
21184,8,11,65,6,0
21185,5,5,38,10,4
21186,6,6,46,3,0
21187,4,6,11,2,0
21191,5,6,14,2,0
21192,6,8,27,7,0
21193,4,6,10,4,0
21194,4,7,12,15,0
21201,4,5,27,10,0
21206,4,5,7,3,3
21208,4,4,31,227,0
21209,4,6,17,4,1
21211,4,5,8,3,1
21213,4,6,8,4,0
21214,5,5,7,6,6
21215,4,6,36,5,0
21216,2,2,3,4,1
21217,5,7,41,3,0
21220,4,6,13,6,0
21224,5,6,12,3,0
21232,4,6,9,4,0
21241,6,6,26,846,0
21247,5,6,16,3,0
21252,4,6,16,5,0
21261,4,5,14,5,0
21268,4,6,40,45,0
21272,4,5,10,5,1
21274,5,6,10,6,0
21277,4,6,17,6,0
21279,4,8,33,6,0
21281,4,6,8,7,0
21284,5,7,16,3,0
21287,4,6,8,3,0
21288,4,5,7,8,8
21303,3,3,14,1041,2
21304,5,6,12,4,0
21310,4,7,15,9,0
21312,5,5,14,6,0
21317,4,7,15,5,0
21326,4,5,7,9,9
21332,6,5,29,3,0
21333,9,7,42,21,0
21334,4,6,10,5,0
21336,4,6,9,8,0
21338,4,6,29,11,0
21339,4,7,15,6,0
21340,4,6,16,5,0
21346,5,5,18,4,1
21347,4,6,10,4,0
21349,4,5,20,6,1
21356,4,6,16,6,0
